scheme_id;dev_id;developer;slug;zhk;klass;tip;opisanie;stavka;srok;pv;vvod;skidka_100;ogranicheniya;source;deystvuet;checked
s001;level-group;Level Group;;Все проекты (Академическая, Бауманская, Лесной, Нижегородская и др.);бизнес;subsid_ipoteka;Субсидированная ставка Альфа-Банка на весь срок;11,89% (ПСК 12,3–14,3%);весь срок, 3–15 лет;от 20,1%;любой;—;кредит 0,6–50 млн, цена при субсидии может отличаться;https://level.ru/promo/subsidirovannaya-ipoteka/;до 30.09.2026;20.09.2026
s002;level-group;Level Group;;Звенигородская (квартиры от 70 м²);бизнес;transh_ipoteka;Траншевая ипотека Сбера: 50% кредита в день сделки, 50% не позднее ввода, до ввода платёж только с первого транша;от 19,2%;до ввода, кредит до 30 лет;от 40%;до ввода;—;кредит до 100 млн, пример 41,7 млн: ~204 тыс/мес до ввода, ~408 тыс после;https://level.ru/promo/transhevaya-ipoteka-lvl-zvenig-70-kv/;до 30.09.2026;20.09.2026
s003;level-group;Level Group;;Павелецкая Сити, этап 3;бизнес;transh_ipoteka;Траншевая ипотека Сбера: 40% кредита сразу, 60% в течение 3 лет (не позднее 30.09.2029);19,2%;до 3 лет льготы;от 40,1%;до ввода;—;пример: 94 тыс/мес до второго транша, 236 тыс после;https://level.ru/promo/transhevaya-ipoteka-lvl-pavsiti-3/;01–30.09.2026;20.09.2026
s004;level-group;Level Group;;Академическая (дом сдан);бизнес;rassrochka_s_udor;Два варианта: ПВ 50% и +5% к цене на 2–6 мес, ПВ 30% и +7%, три платежа;+5% или +7%;до 6 мес;30% или 50%;после ввода;—;ограниченный пул, суммируется со скидками;https://level.ru/promo/rassrochka-ak/;до 30.09.2026;20.09.2026
s005;level-group;Level Group;;Причальный, Мичуринский, Академическая, Мечникова и др.;бизнес;skidka_100;Скидка при 100% оплате, обычной ипотеке и короткой рассрочке, при субсидии меньше;—;до 30.09.2026;—;любой;до 35% (Мечникова 25%, Войковская 20%, Павелецкая Сити 15%);в Мечникова при субсидии 15%, при траншевой 10%;https://level.ru/promo/skidka-do-35-na-kvartiry-i-apartamenty/;до 30.09.2026;20.09.2026
s006;level-group;Level Group;;Избранные лоты;бизнес;drugoe;Дополнительные 5% на избранные лоты, суммируются;−5%;до 30.09.2026;—;—;+5%;избранные лоты;https://level.ru/promo/dop-skidka-5-na-izbrannye-loty/;до 30.09.2026;20.09.2026
s007;donstroy;Донстрой;sobytie;Событие;премиум;subsid_ipoteka;Ставка на весь срок;11,9% (ПСК 12,8–15,6%);весь срок, 13–15 лет;от 40%;любой;—;кредит 0,5–70 млн;https://www.novostroy-m.ru/baza/jk_sobytie;до 30.09.2026;20.09.2026
s008;donstroy;Донстрой;;Все проекты;бизнес/премиум;subsid_ipoteka;Ставка 8,1% на 3 года;8,1%;3 года;нет данных;—;—;подробности не раскрыты;https://donstroy.moscow/;проверено 20.09.2026;20.09.2026
s009;donstroy;Донстрой;sobytie;Событие;премиум;rassrochka_bez_udor;0% на 1,5 года, платежи от 200 тыс/мес, без подтверждения дохода;0%;1,5 года;25%;—;—;—;https://www.novostroy-m.ru/baza/jk_sobytie;до 30.09.2026;20.09.2026
s010;donstroy;Донстрой;ostrov;Остров;бизнес/премиум;rassrochka_bez_udor;0%: от 200 тыс/мес 17 месяцев, остаток на 18-й;0%;1,5 года;30%;—;—;—;https://www.novostroy-m.ru/baza/jk_ostrov;до 30.09.2026;20.09.2026
