id;gruppa;proverka;uroven;stop;chto_smotrim;zachem;otkuda;porog
01;Локация;Адрес и класс;паспорт;нет;Попадает ли адрес в ядро своего класса;Адрес решает больше фасада и держит цену на выходе;координаты, doma.csv;бизнес — старые границы Москвы · премиум — внутри Третьего кольца · элит и делюкс — ЦАО · Рублёвка и Сколково — не применяется
02;Локация;Окружение;паспорт;да;"Что в радиусе 500 м: парк, вода, бульвар (+); магистраль или ж/д под окнами, промзона, ТЭЦ, мусорный завод, ЛЭП (−)";Соседство не поменять ремонтом;карты (OSM/Яндекс), Мосэкомониторинг;красная линия — ТЭЦ, МСЗ, полигон отходов ≤150 м · минус — действующая промзона от 2 га или крупная магистраль (МКАД, ТТК, хорды, вылетные шоссе) ≤150 м · центральные проспекты и ж/д — пометка в карточке
03;Локация;Повседневность;паспорт;нет;Метро/МЦД пешком, школа с отметкой NOTA в 1 км, магазины;День семьи складывается из дорог;карты, shkoly.csv;метро, МЦК или МЦД ≤15 минут пешком · школа с отметкой NOTA — пометка в карточке, не условие
04;Дом;Плотность;паспорт;нет;Квартир в доме и на этаже против нормы класса;Число соседей — это лифты, двор и собрание собственников;проектная декларация, планировки;элит ≤100 квартир, делюкс ≤30 · бизнес и премиум — не больше медианы класса (837 и 665) · на этаже: бизнес ≤8, премиум ≤5, элит и делюкс ≤3
05;Инженерия;Машина;паспорт;нет;Машиномест на квартиру, лифт из паркинга в лобби, зарядки;Двор без машин и место для своей;проектная декларация;норма мест на квартиру: 0,8 / 1,5 / 2,0 / 2,0
06;Застройщик и сроки;Застройщик;паспорт;да;Рейтинг ЕРЗ.РФ по срокам (0–5), остановленные стройки, банкротства;В 2026 в срок строятся 11% новостроек Москвы;ЕРЗ.РФ, наш.дом.рф, kad.arbitr.ru;красная линия — остановленная стройка или банкротство за 3 года · минус — рейтинг ЕРЗ ниже 3,0
07;Застройщик и сроки;Сроки дома;паспорт;нет;Стадия, готовность, переносы срока по этому дому;Каждый месяц переноса — аренда и сдвинутая жизнь;наш.дом.рф (история изменений декларации);«нет» — перенос больше 6 месяцев
08;Застройщик и сроки;Юридика;паспорт;да;Квартиры или апартаменты, эскроу, договор;Апартаменты — другой налог и нет постоянной регистрации;проектная декларация;красная линия — нет эскроу или проблемы с документами · апартаменты — «присмотреться» с объяснением
09;Деньги;Цена против класса;паспорт;нет;Цена метра против медианы своего класса в районе;Сколько доплачиваем за имя;doma.csv, loty/;«нет» — дороже медианы класса в районе больше чем на 30% без явной причины
10;Локация;Что построят рядом;глубокая;нет;Проекты планировки и разрешения на стройку в 500 м;Вид могут закрыть, а стройка вокруг идти годами;mos.ru (ППТ), реестр разрешений;
11;Дом;Соседи;глубокая;нет;Доля студий и однушек;Много маленьких лотов — инвесторы, аренда, текучка;планировки, прайс;
12;Дом;Архитектура и материалы;глубокая;нет;Архитектор, Архсовет Москвы, фасад (камень, клинкер или штукатурка), остекление;Фасад стареет вместе с ценой дома;сайт застройщика, решения Архсовета, декларация;
13;Дом;Квартиры;глубокая;нет;Потолки, окна в пол, террасы, доля коридоров;Потолок не поднять после покупки;планировки, декларация;потолки (рабочая шкала классов NOTA): бизнес от 2,8 м, премиум от 3,2 м, элит и делюкс от 3,3 м
14;Дом;Двор и общие зоны;глубокая;нет;Двор без машин, двор на квартиру, лобби, колясочные, кладовые;Это половина повседневной жизни в доме;генплан, площадь участка в декларации;
15;Инженерия;Климат и воздух;глубокая;нет;Вентиляция с рекуперацией, центральное кондиционирование или места под блоки, водоподготовка, класс энергоэффективности;Иначе фасад в кондиционерах, а воздух — через окно;декларация, сайт, запрос застройщику;
16;Деньги;Содержание;глубокая;нет;Стоимость обслуживания ₽/м² в месяц и что в неё входит;Платить её придётся всегда;управляющая компания;
17;Деньги;Ликвидность;глубокая;нет;Сколько похожих лотов продаётся рядом, как быстро уходят готовые, аренда;Цена на выходе зависит от конкуренции;ЦИАН, loty/;
